DoctorID,Doctor Name,Type of Doctor,ExperienceYears,Hospital / Clinic,Email,Phone,Hours Available,ActiveStatus
D023,Dr. Adam White,ENT Doctor,23,Oklahoma ENT Center,adam.white@oklahomaentcenter.org,918-555-1023,Mon–Fri 9–5,TRUE
D024,Dr. Lucas Jones,ENT Doctor,24,Oklahoma ENT Center,lucas.jones@oklahomaentcenter.org,918-555-1024,Mon–Fri 9–5,TRUE
D025,Dr. Olivia White,Cardiologist,12,Heart Institute of Tulsa,olivia.white@heartinstituteoftulsa.org,918-555-1025,Mon–Fri 9–5,TRUE
D026,Dr. Sophie White,Cardiologist,12,Heart Institute of Tulsa,sophie.white@heartinstituteoftulsa.org,918-555-1026,Mon–Fri 9–5,TRUE
D027,Dr. Emily Price,Cardiologist,16,Heart Institute of Tulsa,emily.price@heartinstituteoftulsa.org,918-555-1027,Mon–Fri 9–5,TRUE
D028,Dr. Sarah Sanders,Pulmonologist,25,Tulsa Respiratory Clinic,sarah.sanders@tulsarespiratoryclinic.org,918-555-1028,Mon–Fri 9–5,TRUE
D029,Dr. Emily Price,Pulmonologist,15,Tulsa Respiratory Clinic,emily.price@tulsarespiratoryclinic.org,918-555-1029,Mon–Fri 9–5,TRUE
D030,Dr. Leah Brown,Pulmonologist,13,Tulsa Respiratory Clinic,leah.brown@tulsarespiratoryclinic.org,918-555-1030,Mon–Fri 9–5,TRUE
D031,Dr. Noah Reyes,Gastroenterologist,17,GI Specialists of Oklahoma,noah.reyes@gispecialistsofoklahoma.org,918-555-1031,Mon–Fri 9–5,TRUE
D032,Dr. Priya Reed,Gastroenterologist,23,GI Specialists of Oklahoma,priya.reed@gispecialistsofoklahoma.org,918-555-1032,Mon–Fri 9–5,TRUE
D033,Dr. Mason White,Gastroenterologist,9,GI Specialists of Oklahoma,mason.white@gispecialistsofoklahoma.org,918-555-1033,Mon–Fri 9–5,TRUE
D034,Dr. Ella Kim,Dermatologist,19,City Dermatology,ella.kim@citydermatology.org,918-555-1034,Mon–Fri 9–5,TRUE
D035,Dr. Dylan Miller,Dermatologist,24,City Dermatology,dylan.miller@citydermatology.org,918-555-1035,Mon–Fri 9–5,TRUE
D036,Dr. Lily Reyes,Dermatologist,5,City Dermatology,lily.reyes@citydermatology.org,918-555-1036,Mon–Fri 9–5,TRUE
D037,Dr. Dylan Gomez,Orthopedist,8,Tulsa Ortho Center,dylan.gomez@tulsaorthocenter.org,918-555-1037,Mon–Fri 9–5,TRUE
D038,Dr. Henry Blake,Orthopedist,9,Tulsa Ortho Center,henry.blake@tulsaorthocenter.org,918-555-1038,Mon–Fri 9–5,TRUE
D039,Dr. Priya Blake,Orthopedist,21,Tulsa Ortho Center,priya.blake@tulsaorthocenter.org,918-555-1039,Mon–Fri 9–5,TRUE
D040,Dr. Ella Scott,OBGYN,20,Women’s Health Center,ella.scott@womenshealthcenter.org,918-555-1040,Mon–Fri 9–5,TRUE
D041,Dr. Zoe Wright,OBGYN,22,Women’s Health Center,zoe.wright@womenshealthcenter.org,918-555-1041,Mon–Fri 9–5,TRUE
D042,Dr. Olive Parker,OBGYN,11,Women’s Health Center,olive.parker@womenshealthcenter.org,918-555-1042,Mon–Fri 9–5,TRUE
D043,Dr. Henry Johnson,OBGYN,7,Women’s Health Center,henry.johnson@womenshealthcenter.org,918-555-1043,Mon–Fri 9–5,TRUE
D044,Dr. Caroline Singh,OBGYN,9,Women’s Health Center,caroline.singh@womenshealthcenter.org,918-555-1044,Mon–Fri 9–5,TRUE
D045,Dr. Sophia Patel,OBGYN,24,Women’s Health Center,sophia.patel@womenshealthcenter.org,918-555-1045,Mon–Fri 9–5,TRUE
D046,Dr. Miles Stewart,Pediatrician,17,Children’s Medical Center,miles.stewart@childrensmedicalcenter.org,918-555-1046,Mon–Fri 9–5,TRUE
D047,Dr. Jack Nelson,Pediatrician,8,Children’s Medical Center,jack.nelson@childrensmedicalcenter.org,918-555-1047,Mon–Fri 9–5,TRUE
D048,Dr. Owen Hill,Pediatrician,9,Children’s Medical Center,owen.hill@childrensmedicalcenter.org,918-555-1048,Mon–Fri 9–5,TRUE
D049,Dr. Jack Cooper,Pediatrician,11,Children’s Medical Center,jack.cooper@childrensmedicalcenter.org,918-555-1049,Mon–Fri 9–5,TRUE
D050,Dr. Isabella Blake,Pediatrician,5,Children’s Medical Center,isabella.blake@childrensmedicalcenter.org,918-555-1050,Mon–Fri 9–5,TRUE
D051,Dr. Aaron King,Pediatrician,6,Children’s Medical Center,aaron.king@childrensmedicalcenter.org,918-555-1051,Mon–Fri 9–5,TRUE
D052,Dr. David Lee,General Practitioner,15,Tulsa General Hospital,david.lee@tulsageneralhospital.org,918-555-1052,Mon–Fri 9–5,TRUE
D053,Dr. Ben Patel,General Practitioner,5,Tulsa General Hospital,ben.patel@tulsageneralhospital.org,918-555-1053,Mon–Fri 9–5,TRUE
D054,Dr. Sarah Torres,General Practitioner,21,Tulsa General Hospital,sarah.torres@tulsageneralhospital.org,918-555-1054,Mon–Fri 9–5,TRUE
